"resource_name","task_family","anatomy_or_domain","task_or_scenario","base_signal_type","source_url","source_type","dataset_url","evidence_url","status"
"Regensburg Pediatric Appendicitis Dataset","recognition_classification","Appendix","","labels/classes","https://arxiv.org/abs/2511.04069","paper_or_evidence","","https://arxiv.org/abs/2511.04069","evidence_source_only"
"Gallbladder ultrasound video","recognition_classification","Gallbladder","","labels/classes","https://pmc.ncbi.nlm.nih.gov/articles/PMC12722232/","secondary_catalogue","","","secondary_catalogue_only"
"Gallbladder cancer ultrasound","recognition_classification","Gallbladder","","labels/classes","https://pmc.ncbi.nlm.nih.gov/articles/PMC12722232/","secondary_catalogue","","","secondary_catalogue_only"
"Breast lesion detection in ultrasound videos (BUSV)","recognition_classification","Breast","Breast lesion classification","labels/classes","https://arxiv.org/abs/2207.00141","paper_or_evidence","https://github.com/jhl-Det/CVA-Net","https://arxiv.org/abs/2207.00141","verified_public_source"
"Muscle-tendon junction tracking in ultrasound images","segmentation_localization;measurement_quantification","Muscle-tendon junction","","masks/boxes/landmarks; measurements/scores","https://arxiv.org/abs/2202.05199","paper_or_evidence","https://deepmtj.org/","https://arxiv.org/abs/2202.05199","verified_public_source"
"Breast ultrasound images dataset","recognition_classification;quality_acquisition;segmentation_localization","Breast","Breast cancer classification; tumour localisation; diagnostic view identification","labels/classes; quality/acquisition cues; masks/boxes/landmarks","https://doi.org/10.1016/j.dib.2019.104863","paper_or_evidence","https://scholar.cu.edu.eg/?q=afahmy/pages/dataset","https://doi.org/10.1016/j.dib.2019.104863","verified_or_from_u2bench_source"
"BITE","recognition_classification;segmentation_localization","Liver, gallbladder, breast, gastrointestinal, genitourinary","","labels/classes; masks/boxes/landmarks","https://pmc.ncbi.nlm.nih.gov/articles/PMC12722232/","secondary_catalogue","","","secondary_catalogue_only"
"Dermatologic ultrasound images for classification","recognition_classification","Skin, hair, nail","Skin tumor classification","labels/classes","https://doi.org/10.1111/srt.13086","paper_or_evidence","","https://doi.org/10.1111/srt.13086","evidence_source_only"
"Polycystic ovary ultrasound images dataset","recognition_classification;quality_acquisition","Ovary","Polycystic ovary syndrome localisation","labels/classes; quality/acquisition cues","https://doi.org/10.3844/jcssp.2018.351.359","paper_or_evidence","","https://doi.org/10.3844/jcssp.2018.351.359","evidence_source_only"
"CUBS","recognition_classification;quality_acquisition;segmentation_localization;measurement_quantification","Breast","Carotid thickness estimation; carotid detection; diagnostic view identification","labels/classes; quality/acquisition cues; masks/boxes/landmarks; measurements/scores","https://doi.org/10.17632/fpv535fss7.1","paper_or_evidence","https://doi.org/10.17632/fpv535fss7.1","https://doi.org/10.17632/fpv535fss7.1","verified_or_from_u2bench_source"
"Knee ultrasound dataset in a population-based cohort","recognition_classification;quality_acquisition;segmentation_localization","Knee","Knee KL and pain grade classification; view identification; lesion localisation","labels/classes; quality/acquisition cues; masks/boxes/landmarks","https://doi.org/10.3899/jrheum.2023-0479","paper_or_evidence","","https://doi.org/10.3899/jrheum.2023-0479","evidence_source_only"
"BioBank: Carotid artery ultrasound image (left) (20222) and (right) (20223)","measurement_quantification","Carotid artery","","measurements/scores","https://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20222; https://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20223","direct_resource","https://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20222; https://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20223","","verified_public_source"
"ReMIND2Reg","reconstruction_registration","Brain","","raw/reconstruction/registration targets","https://arxiv.org/abs/2508.09649","paper_or_evidence","","https://arxiv.org/abs/2508.09649","evidence_source_only"
"ReMIND","reconstruction_registration","Brain","","raw/reconstruction/registration targets","https://pmc.ncbi.nlm.nih.gov/articles/PMC12722232/","secondary_catalogue","","","secondary_catalogue_only"
"HC18","segmentation_localization;measurement_quantification","Fetal head","Head circumference estimation; fetal head detection","masks/boxes/landmarks; measurements/scores","https://pmc.ncbi.nlm.nih.gov/articles/PMC6107118/","paper_or_evidence","https://zenodo.org/records/1327317","https://pmc.ncbi.nlm.nih.gov/articles/PMC6107118/","verified_or_from_u2bench_source"
"KFGNet","recognition_classification;segmentation_localization","Head and brain","Thyroid nodule classification; thyroid nodule localisation","labels/classes; masks/boxes/landmarks","https://github.com/NeuronXJTU/KFGNet","paper_or_evidence","https://github.com/NeuronXJTU/KFGNet","https://github.com/NeuronXJTU/KFGNet","verified_or_from_u2bench_source"
"BUSIS","recognition_classification;segmentation_localization","Breast","","labels/classes; masks/boxes/landmarks","https://arxiv.org/abs/1801.03182","paper_or_evidence","","https://arxiv.org/abs/1801.03182","evidence_source_only"
"Ultrasound Elastography","recognition_classification;measurement_quantification","Breast","","labels/classes; measurements/scores","https://pmc.ncbi.nlm.nih.gov/articles/PMC12722232/","secondary_catalogue","","","secondary_catalogue_only"
"TUS-REC","reconstruction_registration","Thyroid","","raw/reconstruction/registration targets","https://arxiv.org/abs/2506.21765","paper_or_evidence","","https://arxiv.org/abs/2506.21765","evidence_source_only"
"Breast ultrasound B dataset","recognition_classification;segmentation_localization","Breast","","labels/classes; masks/boxes/landmarks","https://arxiv.org/abs/2407.03552","paper_or_evidence","","https://arxiv.org/abs/2407.03552","evidence_source_only"
"Thyroid","recognition_classification;quality_acquisition","Thyroid","Thyroid diagnostic view identification","labels/classes; quality/acquisition cues","https://doi.org/10.1371/journal.pone.0268550","paper_or_evidence","https://doi.org/10.1371/journal.pone.0268550","https://doi.org/10.1371/journal.pone.0268550","verified_or_from_u2bench_source"
"CCA","segmentation_localization","Carotid artery","Carotid artery segmentation / domain generalization","masks/boxes/landmarks","https://arxiv.org/abs/2303.12649","paper_or_evidence","","https://arxiv.org/abs/2303.12649","evidence_source_only"
"Chinese ultrasound-report dataset","report_vqa_reasoning","Abdomen","Ultrasound report generation","reports/QA/reasoning text","https://arxiv.org/abs/2406.00644","paper_or_evidence","","https://arxiv.org/abs/2406.00644","evidence_source_only"
"GDPH & SYSUCC","recognition_classification","Breast","Breast lesion classification","labels/classes","https://arxiv.org/abs/2205.08390","paper_or_evidence","","https://arxiv.org/abs/2205.08390","evidence_source_only"
"STU-Hospital","recognition_classification;segmentation_localization","Breast","","labels/classes; masks/boxes/landmarks","https://pmc.ncbi.nlm.nih.gov/articles/PMC12722232/","secondary_catalogue","","","secondary_catalogue_only"
"mu-Reg","reconstruction_registration","Prostate","","raw/reconstruction/registration targets","https://arxiv.org/abs/2305.19939","paper_or_evidence","","https://arxiv.org/abs/2305.19939","evidence_source_only"
"mu-RegPro","reconstruction_registration","Prostate","","raw/reconstruction/registration targets","https://arxiv.org/abs/2305.19939","paper_or_evidence","","https://arxiv.org/abs/2305.19939","evidence_source_only"
"UCLA","recognition_classification;segmentation_localization","Breast","","labels/classes; masks/boxes/landmarks","https://pmc.ncbi.nlm.nih.gov/articles/PMC12722232/","secondary_catalogue","","","secondary_catalogue_only"
"LEPset","recognition_classification","Liver","Pancreatic cancer classification","labels/classes","https://doi.org/10.5281/zenodo.8041285","paper_or_evidence","https://doi.org/10.5281/zenodo.8041285","https://doi.org/10.5281/zenodo.8041285","verified_or_from_u2bench_source"
"Geometric ultrasound localization microscopy","reconstruction_registration;measurement_quantification","Microbubbles in a flow phantom, rat and human brains","","raw/reconstruction/registration targets; measurements/scores","https://arxiv.org/abs/2306.15548","paper_or_evidence","","https://arxiv.org/abs/2306.15548","evidence_source_only"
